,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,business_code_enc,day_of_cleardate,month_of_cleardate,year_of_cleardate,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_due,month_of_due,year_of_due,day_of_createdate,month_of_createdate,year_of_createdate,cust_payment_terms_enc,name_customer_enc,Aging Bucket
17,U001,200772670,ASSOCIAT corporation,2020-04-25 04:43:15.562500000,2020.0,1930765053.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAU5,174766.36,60,,,,9,4,2020,24,4,2020,9,4,2020,42,191,0-15
18,U001,200900909,SYSCO systems,2020-04-17 04:28:29.156250000,2020.0,1930645969.0,2020-03-13 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-13 00:00:00.000000000,NA32,31512.75,60,,,,13,3,2020,14,4,2020,13,3,2020,12,2736,0-15
19,U001,200769623,WAL-MAR systems,2020-04-15 10:00:17.828125000,2020.0,1930718081.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAH4,19701.55,60,,,,30,3,2020,14,4,2020,30,3,2020,32,2972,0-15
20,U001,200726979,BJ'S  trust,2020-05-01 06:24:41.636718750,2020.0,1930788667.0,2020-04-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAA8,132.72,60,,,,16,4,2020,1,5,2020,16,4,2020,19,330,0-15
21,U001,200769623,WAL-MAR llc,2020-04-13 09:28:34.136718750,2020.0,1930709919.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,1121.15,60,,,,29,3,2020,13,4,2020,29,3,2020,32,2971,0-15
22,U001,200769623,WAL-MAR llc,2020-04-23 19:48:59.593750000,2020.0,1930752568.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,11394.84,60,,,,6,4,2020,21,4,2020,6,4,2020,32,2971,0-15
23,CA02,140105847,GORDON F co,2020-04-23 03:36:27.000000000,2020.0,2960627274.0,2020-04-08 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,2579.64,60,,,,8,4,2020,18,4,2020,8,4,2020,4,1120,0-15
24,U001,200744019,TARG foundation,2020-04-04 14:00:13.875000000,2020.0,1930648342.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,52123.3,60,,,,15,3,2020,30,3,2020,15,3,2020,19,2764,0-15
25,U001,200769623,WAL-MAR systems,2020-03-27 21:56:34.765625000,2020.0,1930632791.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,14994.01,60,,,,10,3,2020,25,3,2020,10,3,2020,32,2972,0-15
26,U001,200769623,WAL-MAR llc,2020-03-20 22:28:09.492187500,2020.0,1930617194.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,36.06,60,,,,6,3,2020,21,3,2020,6,3,2020,32,2971,
27,U001,200418007,AM in,2020-04-19 09:15:08.531250000,2020.0,1930752243.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAA8,25836.19,60,,,,6,4,2020,21,4,2020,6,4,2020,19,93,
28,U001,200739006,AL foundation,2020-05-01 07:43:45.546875000,2020.0,1930768064.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,4309.05,60,,,,15,4,2020,30,4,2020,15,4,2020,19,49,0-15
29,U001,100031704,DELHAIZE associates,2020-05-03 08:25:41.343750000,2020.0,1930789873.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,70181.07,60,,,,15,4,2020,30,4,2020,15,4,2020,19,741,0-15
30,U001,200769623,WAL-MAR trust,2020-04-12 23:38:30.218750000,2020.0,1930705172.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,3403.8,60,,,,28,3,2020,12,4,2020,28,3,2020,32,2973,0-15
31,U001,200744019,TARG systems,2020-05-17 22:24:40.593750000,2020.0,1930620634.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,10665.53,60,,,,10,3,2020,14,5,2020,10,3,2020,31,2767,0-15
32,U001,200769623,WAL-MAR ,2020-04-07 12:34:30.031250000,2020.0,1930676002.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,7280.51,60,,,,21,3,2020,5,4,2020,21,3,2020,32,2964,0-15
33,U001,200726979,BJ'S  corporation,2020-03-18 13:16:54.921875000,2020.0,1930585378.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,13681.7,60,,,,2,3,2020,17,3,2020,2,3,2020,19,325,0-15
34,U001,200706844,WINC associates,2020-05-01 07:11:46.750000000,2020.0,1930773419.0,2020-04-07 00:00:00.000000000,2020-04-22 00:00:00.000000000,2020-04-07 00:00:00.000000000,NAA8,33947.85,60,,,,7,4,2020,22,4,2020,7,4,2020,19,3023,0-15
35,U001,200793830,M llc,2020-04-23 06:16:44.089843750,2020.0,1930767747.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,4537.14,60,,,,8,4,2020,23,4,2020,8,4,2020,19,1671,0-15
36,U001,200769623,WAL-MAR foundation,2020-04-23 21:14:11.453125000,2020.0,1930750455.0,2020-04-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,2020-04-06 00:00:00.000000000,NAH4,14355.96,60,,,,6,4,2020,21,4,2020,6,4,2020,32,2969,0-15
37,U001,200769623,WAL-MAR systems,2020-04-17 16:19:00.775390625,2020.0,1930738904.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAH4,367.71,60,,,,3,4,2020,18,4,2020,3,4,2020,32,2972,
38,U001,200769623,WAL-MAR trust,2020-05-19 08:17:06.890625000,2020.0,1930862467.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAH4,56284.77,60,,,,6,5,2020,21,5,2020,6,5,2020,32,2973,
39,U001,200769623,WAL-MAR systems,2020-03-15 23:13:36.781250000,2020.0,1930582162.0,2020-02-29 00:00:00.000000000,2020-03-15 00:00:00.000000000,2020-02-29 00:00:00.000000000,NAH4,50493.86,60,,,,29,2,2020,15,3,2020,29,2,2020,32,2972,0-15
40,U001,200769623,WAL-MAR llc,2020-05-04 04:40:25.265625000,2020.0,1930802490.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,15489.43,60,,,,21,4,2020,6,5,2020,21,4,2020,32,2971,
41,CA02,140104423,METRO  llc,2020-03-14 09:37:00.656250000,2020.0,2960617050.0,2020-02-27 00:00:00.000000000,2020-03-11 00:00:00.000000000,2020-03-01 00:00:00.000000000,CA10,93179.35199999998,60,,,,27,2,2020,11,3,2020,1,3,2020,4,1843,0-15
42,U001,200726979,BJ'S  systems,2020-05-04 00:30:34.899902344,2020.0,1930801417.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAA8,360.33,60,,,,19,4,2020,4,5,2020,19,4,2020,19,329,0-15
43,U001,200743996,STATER  llc,2020-05-15 04:03:33.000000000,2020.0,1930660304.0,2020-03-16 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAGD,3826.03,60,,,,16,3,2020,20,5,2020,16,3,2020,31,2596,
44,U001,200752302,KROGER trust,2020-04-17 12:25:18.937500000,2020.0,1930733767.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,96674.05,60,,,,2,4,2020,17,4,2020,2,4,2020,19,1564,0-15
45,CA02,140105686,SYSC llc,2020-05-25 19:52:13.875000000,2020.0,2960633120.0,2020-05-06 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-08 00:00:00.000000000,CA10,43230.299,60,,,,6,5,2020,18,5,2020,8,5,2020,4,2685,0-15
46,U001,200711029,WEGMAN corp,2020-04-27 14:45:04.750000000,2020.0,1930742932.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,14382.22,60,,,,3,4,2020,18,4,2020,3,4,2020,19,2994,0-15
47,CA02,2001,KRAFT  corporation,2020-05-07 02:54:55.562500000,2020.0,2960622220.0,2020-03-20 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAG2,17828.068999999996,60,,,,20,3,2020,27,4,2020,23,3,2020,30,1496,0-15
48,U001,200769623,WAL-MAR llc,2020-05-04 04:09:54.453125000,2020.0,1930804924.0,2020-04-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,2020-04-21 00:00:00.000000000,NAH4,35509.95,60,,,,21,4,2020,6,5,2020,21,4,2020,32,2971,
49,U001,200769623,WAL-MAR associates,2020-04-22 16:12:04.812500000,2020.0,1930746955.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,13512.61,60,,,,5,4,2020,20,4,2020,5,4,2020,32,2965,0-15
50,U001,200772670,ASSOCIAT corp,2020-04-09 11:06:39.429687500,2020.0,1930698156.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAU5,24421.33,60,,,,24,3,2020,8,4,2020,24,3,2020,42,190,0-15
51,U001,200769623,WAL-MAR co,2020-05-02 03:23:54.546875000,2020.0,1930801200.0,2020-04-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-19 00:00:00.000000000,NAH4,11217.33,60,,,,19,4,2020,4,5,2020,19,4,2020,32,2966,
52,U001,200769623,WAL-MAR systems,2020-04-30 20:49:55.843750000,2020.0,1930776682.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,12554.13,60,,,,13,4,2020,28,4,2020,13,4,2020,32,2972,0-15
53,U001,200720238,WOODM co,2020-05-24 21:44:25.093750000,2020.0,1930858727.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,126919.03,60,,,,6,5,2020,21,5,2020,6,5,2020,19,2896,0-15
54,CA02,140106408,WAL-M in,2020-05-22 20:16:38.875000000,2020.0,2960631200.0,2020-04-25 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-25 00:00:00.000000000,CA10,28537.684,60,,,,25,4,2020,5,5,2020,25,4,2020,4,2959,16-30
55,U001,200769623,WAL-MAR co,2020-04-18 19:00:16.062500000,2020.0,1930729999.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,24834.9,60,,,,1,4,2020,16,4,2020,1,4,2020,32,2966,0-15
56,U001,200769623,WAL-MAR us,2020-04-01 21:16:56.031250000,2020.0,1930653060.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,50202.83,60,,,,15,3,2020,30,3,2020,15,3,2020,32,2974,0-15
57,U001,200769623,WAL-MAR us,2020-04-19 09:12:42.718750000,2020.0,1930715979.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,8299.7,60,,,,1,4,2020,16,4,2020,1,4,2020,32,2974,0-15
58,U001,200799367,MCL corporation,2020-04-10 12:42:10.421875000,2020.0,1930673430.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAA8,51602.13,60,,,,24,3,2020,8,4,2020,24,3,2020,19,1778,0-15
59,U001,200759878,SA co,2020-04-30 19:24:33.875000000,2020.0,1930783249.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAH4,18900.99,60,,,,14,4,2020,29,4,2020,14,4,2020,32,2365,0-15
60,U001,200794332,COST corp,2020-03-29 17:56:10.816406250,2020.0,1930638145.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAAX,49467.7,60,,,,14,3,2020,29,3,2020,14,3,2020,21,626,0-15
61,U001,200515231,US  us,2020-05-01 13:51:15.812500000,2020.0,1930768145.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,10187.66,60,,,,9,4,2020,24,4,2020,9,4,2020,19,2888,0-15
62,U001,200782669,SYGMA corp,2020-03-28 10:04:34.613281250,2020.0,1930636977.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAA8,237.4,60,,,,13,3,2020,28,3,2020,13,3,2020,19,2670,0-15
63,U001,200769623,WAL-MAR foundation,2020-05-25 05:23:27.093750000,2020.0,1930882979.0,2020-05-12 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-05-12 00:00:00.000000000,NAH4,11532.84,60,,,,12,5,2020,27,5,2020,12,5,2020,32,2969,
64,U001,200769623,WAL-MAR ,2020-04-09 05:25:12.593750000,2020.0,1930692833.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,20017.92,60,,,,24,3,2020,8,4,2020,24,3,2020,32,2964,0-15
65,U001,200331749,SYSC foundation,2020-03-19 17:59:08.781250000,2020.0,1930579080.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5320.85,60,,,,28,2,2020,14,3,2020,28,2,2020,19,2683,0-15
66,U001,200772670,ASSOCIAT associates,2020-05-05 04:27:07.765625000,2020.0,1930819529.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAU5,30900.83,60,,,,23,4,2020,8,5,2020,23,4,2020,42,188,
67,U001,200772670,ASSOCIAT us,2020-04-18 10:08:16.351562500,2020.0,1930736164.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAU5,65843.26,60,,,,2,4,2020,17,4,2020,2,4,2020,42,197,0-15
68,U001,200706844,WINC foundation,2020-03-24 21:25:14.875000000,2020.0,1930599854.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,359.44,60,,,,4,3,2020,19,3,2020,4,3,2020,19,3027,0-15
69,U001,100043975,JAVA ,2020-04-17 11:45:57.082031250,2020.0,1930740345.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,1427.36,60,,,,3,4,2020,18,4,2020,3,4,2020,19,1374,
70,U001,200762301,C&S WH in,2020-03-19 04:27:31.929687500,2020.0,1930592552.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAC6,99091.71,60,,,,4,3,2020,19,3,2020,4,3,2020,24,444,0-15
71,U001,200148860,DOLLA associates,2020-05-26 19:47:42.437500000,2020.0,1930732920.0,2020-04-03 00:00:00.000000000,2020-06-07 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAGD,6543.44,60,,,,3,4,2020,7,6,2020,3,4,2020,31,798,
72,CA02,100027744,OMEGA AD in,2020-05-21 05:50:06.468750000,2020.0,2960635652.0,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-19 00:00:00.000000000,CAB1,4924.5,60,,,,19,5,2020,19,5,2020,19,5,2020,7,1999,0-15
73,U001,100031704,DELHAIZE co,2020-03-17 20:03:19.687500000,2020.0,1930585468.0,2020-03-01 00:00:00.000000000,2020-03-16 00:00:00.000000000,2020-03-01 00:00:00.000000000,NAA8,106394.18,60,,,,1,3,2020,16,3,2020,1,3,2020,19,742,0-15
74,U001,200799420,HT HA foundation,2020-04-03 15:58:53.562500000,2020.0,1930703225.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAA8,801.1,60,,,,25,3,2020,9,4,2020,25,3,2020,19,2896,
75,U001,200974851,RESTA systems,2020-04-09 17:14:09.113281250,2020.0,1930706997.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,3566.69,60,,,,26,3,2020,10,4,2020,26,3,2020,19,2291,
76,U001,200769623,WAL-MAR in,2020-05-09 19:54:03.968750000,2020.0,1930830709.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,8885.57,60,,,,28,4,2020,13,5,2020,28,4,2020,32,2970,
77,U001,200793568,SUPE llc,2020-03-27 23:59:28.625000000,2020.0,1930630388.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAA8,15893.27,60,,,,10,3,2020,25,3,2020,10,3,2020,19,2633,0-15
78,U001,200759878,SA foundation,2020-03-22 10:01:51.820312500,2020.0,1930609945.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,70180.8,60,,,,6,3,2020,21,3,2020,6,3,2020,32,2368,0-15
79,U001,200712187,SPAR in,2020-05-06 07:21:30.984375000,2020.0,1930806222.0,2020-04-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,NAA8,119384.36,60,,,,20,4,2020,5,5,2020,20,4,2020,19,2576,0-15
80,U001,100047532,KEYSTON associates,2020-03-29 14:13:07.125000000,2020.0,1930592834.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,11852.54,60,,,,4,3,2020,19,3,2020,4,3,2020,19,2896,0-15
81,U001,200794332,COST co,2020-03-20 03:23:41.000000000,2020.0,1930562584.0,2020-02-28 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-02-28 00:00:00.000000000,NA84,11225.42,60,,,,28,2,2020,19,3,2020,28,2,2020,16,625,0-15
82,U001,200148860,DOLLA associates,2020-05-17 14:46:47.625000000,2020.0,1930699340.0,2020-03-25 00:00:00.000000000,2020-05-29 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAGD,5456.75,60,,,,25,3,2020,29,5,2020,25,3,2020,31,798,
83,U001,200794332,COST llc,2020-05-17 22:33:02.906250000,2020.0,1930862420.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAAX,81500.86,60,,,,8,5,2020,23,5,2020,8,5,2020,21,630,
84,U001,200555117,BURR trust,2020-04-12 08:48:16.343750000,2020.0,1930709963.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAA8,749.14,60,,,,27,3,2020,11,4,2020,27,3,2020,19,389,0-15
85,U001,200769623,WAL-MAR in,2020-05-19 05:27:16.812500000,2020.0,1930878284.0,2020-05-09 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-09 00:00:00.000000000,NAH4,2219.89,60,,,,9,5,2020,24,5,2020,9,5,2020,32,2970,
86,U001,200772670,ASSOCIAT corp,2020-04-06 15:12:10.359375000,2020.0,1930683241.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAU5,15489.78,60,,,,21,3,2020,5,4,2020,21,3,2020,42,190,0-15
87,U001,200707822,PUBLI corporation,2020-05-21 09:43:00.062500000,2020.0,1930857983.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAA8,126107.91,60,,,,4,5,2020,19,5,2020,4,5,2020,19,2186,0-15
88,CA02,140104392,FLANAG us,2020-03-25 09:09:52.968750000,2020.0,2960619205.0,2020-03-06 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-10 00:00:00.000000000,CA10,2528.673,60,,,,6,3,2020,20,3,2020,10,3,2020,4,2896,0-15
89,U001,200769623,WAL-MAR corp,2020-05-09 19:26:17.968750000,2020.0,1930831780.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAH4,11545.38,60,,,,28,4,2020,13,5,2020,28,4,2020,32,2967,
90,U001,200759878,SA systems,2020-04-14 20:28:59.312500000,2020.0,1930717567.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,47646.57,60,,,,31,3,2020,15,4,2020,31,3,2020,32,2371,
91,U001,200705742,DOT foundation,2020-03-03 13:02:05.812500000,2020.0,1930581678.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAA8,5932.51,60,,,,28,2,2020,14,3,2020,28,2,2020,19,829,
92,U001,200793568,SUPE trust,2020-04-08 08:08:53.593750000,2020.0,1930690537.0,2020-03-23 00:00:00.000000000,2020-04-07 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAA8,1635.76,60,,,,23,3,2020,7,4,2020,23,3,2020,19,2635,0-15
93,U001,200726979,BJ'S  ,2020-03-27 21:13:49.476562500,2020.0,1930646128.0,2020-03-12 00:00:00.000000000,2020-03-27 00:00:00.000000000,2020-03-12 00:00:00.000000000,NAA8,1286.3,60,,,,12,3,2020,27,3,2020,12,3,2020,19,321,0-15
94,U001,200704858,WAKE corp,2020-04-29 22:29:00.031250000,2020.0,1930762384.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAA8,99568.42,60,,,,9,4,2020,24,4,2020,9,4,2020,19,2940,0-15
95,U001,200780383,MEIJ in,2020-04-02 15:58:37.316406250,2020.0,1930665025.0,2020-03-18 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-18 00:00:00.000000000,NAA8,3612.63,60,,,,18,3,2020,2,4,2020,18,3,2020,19,1815,0-15
